route,variant,WNS,TNS,WHS,THS,LUT,FF,DSP,BRAM,cnt_test
V42_baseline,baseline,0.056,0.000,0.085,0.000,2228,1615,0,0,88
V44_best_after,retiming_try,0.069,0.000,0.085,0.000,2224,1608,0,0,88
