cycle,verify_addr,verify_data,writer_core,is_last_write
40,0,f280,Core0,0
40,2,1a80,Core2,0
40,4,e080,Core4,0
40,6,e680,Core6,0
41,8,e900,Core0,0
41,10,2c00,Core2,0
41,12,0b00,Core4,0
41,14,1600,Core6,0
64,1,e80a,Core1,0
64,3,fea2,Core3,0
64,5,16f6,Core5,0
64,7,fa5e,Core7,0
65,9,317c,Core1,0
65,11,1f8c,Core3,0
65,13,0c84,Core5,0
65,15,d874,Core7,0
