cycle,verify_addr,verify_data,writer_core,is_last_write
33,0,f280,Core0,0
33,2,1a80,Core2,0
33,4,e080,Core4,0
33,6,e680,Core6,0
33,8,e900,Core8,0
33,10,2c00,Core10,0
33,12,0b00,Core12,0
33,14,1600,Core14,0
41,1,e80a,Core1,1
41,3,fea2,Core3,1
41,5,16f6,Core5,1
41,7,fa5e,Core7,1
41,9,317c,Core9,1
41,11,1f8c,Core11,1
41,13,0c84,Core13,1
41,15,d874,Core15,1
